index;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_C;params;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_test_balanced_accuracy;split1_test_balanced_accuracy;split2_test_balanced_accuracy;split3_test_balanced_accuracy;split4_test_balanced_accuracy;mean_test_balanced_accuracy;std_test_balanced_accuracy;rank_test_balanced_accuracy;split0_test_macro-precision;split1_test_macro-precision;split2_test_macro-precision;split3_test_macro-precision;split4_test_macro-precision;mean_test_macro-precision;std_test_macro-precision;rank_test_macro-precision;split0_test_macro-recall;split1_test_macro-recall;split2_test_macro-recall;split3_test_macro-recall;split4_test_macro-recall;mean_test_macro-recall;std_test_macro-recall;rank_test_macro-recall;split0_test_macro-f1_score;split1_test_macro-f1_score;split2_test_macro-f1_score;split3_test_macro-f1_score;split4_test_macro-f1_score;mean_test_macro-f1_score;std_test_macro-f1_score;rank_test_macro-f1_score;split0_test_weighted-precision;split1_test_weighted-precision;split2_test_weighted-precision;split3_test_weighted-precision;split4_test_weighted-precision;mean_test_weighted-precision;std_test_weighted-precision;rank_test_weighted-precision;split0_test_weighted-recall;split1_test_weighted-recall;split2_test_weighted-recall;split3_test_weighted-recall;split4_test_weighted-recall;mean_test_weighted-recall;std_test_weighted-recall;rank_test_weighted-recall;split0_test_weighted-f1_score;split1_test_weighted-f1_score;split2_test_weighted-f1_score;split3_test_weighted-f1_score;split4_test_weighted-f1_score;mean_test_weighted-f1_score;std_test_weighted-f1_score;rank_test_weighted-f1_score
0;84.47879519462586;3.3417628647057946;0.14876041412353516;0.027299954831721013;1;{'C': 1};0.8531004324494567;0.8535728562256975;0.8531125458796167;0.8536576502368176;0.8537303308177777;0.8534347631218733;0.00027265714145066367;2;0.9125366120488995;0.9138361686681403;0.9148817984739868;0.9120391369607906;0.9114100797216353;0.9129407591746904;0.0012560755412204044;2;0.9261131075823276;0.9263497485065489;0.9262553048852853;0.9281911567730174;0.9265498063519629;0.9266918248198284;0.0007629737937058538;2;0.9125366120488995;0.9138361686681403;0.9148817984739868;0.9120391369607906;0.9114100797216353;0.9129407591746904;0.0012560755412204044;2;0.918245787916954;0.9190662680695366;0.9195310004095802;0.919130702330541;0.9177803771512236;0.9187508271755671;0.0006402056339199076;2;0.8526145122320476;0.8530672426529315;0.8526400393350352;0.8530967325442158;0.853368075403044;0.8529573204334548;0.0002892829183931053;2;0.8531004324494567;0.8535728562256975;0.8531125458796167;0.8536576502368176;0.8537303308177777;0.8534347631218733;0.00027265714145066367;2;0.8508130792180626;0.8513269756800885;0.8507532511988419;0.8515571644660865;0.8513948533556234;0.8511690647837407;0.0003243961634090806;2
1;223.04429988861085;15.920303018336451;0.10370163917541504;0.007798034577799713;1000;{'C': 1000};0.8532215667510569;0.8537303308177777;0.8532094533208969;0.8538272382590578;0.8538030113987378;0.8535583201095054;0.0002817407824812087;1;0.9132733669420265;0.915059320134643;0.9156104699311663;0.9131262729425998;0.9119000915068523;0.9137939042914576;0.001356790742363759;1;0.9263055224479834;0.9267421144290411;0.9266691285370963;0.9286859655399841;0.9267446855941565;0.9270294833096523;0.0008439903889301834;1;0.9132733669420265;0.915059320134643;0.9156104699311663;0.9131262729425998;0.9119000915068523;0.9137939042914576;0.001356790742363759;1;0.9187210964193172;0.9198979883458651;0.9201035412123432;0.9199434832437063;0.9181465234142709;0.9193625265271006;0.0007827424842502794;1;0.8527300794342607;0.8532151651531437;0.8527378568109336;0.8532554165501274;0.8534350471880363;0.8530747130273003;0.00028791168582244665;1;0.8532215667510569;0.8537303308177777;0.8532094533208969;0.8538272382590578;0.8538030113987378;0.8535583201095054;0.0002817407824812087;1;0.8509288657597188;0.8514817893112494;0.8508463025064082;0.8517272709115825;0.8514649507683827;0.8512898358514682;0.00034231039481230483;1

 
;precision;recall;f1-score;support
0.0;0.852;0.9168;0.8832;61851.0
1.0;0.9892;0.9925;0.9908;1200.0
2.0;0.9665;0.918;0.9416;2074.0
3.0;0.9942;1.0;0.9971;1205.0
4.0;0.8386;0.7337;0.7827;36862.0
macro avg;0.9281;0.9122;0.9191;103192.0
weighted avg;0.8527;0.8532;0.851;103192.0

 
C;class_weight;dual;fit_intercept;intercept_scaling;l1_ratio;max_iter;multi_class;n_jobs;penalty;random_state;solver;tol;verbose;warm_start
1000;;False;True;1;;500;multinomial;;l2;;newton-cg;0.0001;0;False
