index;list_index;combination;avg_accuracy;t_statistics;p_value;significant 5%
0;0;('acc_LR_A', 'acc_LR_B');(0.8468369641057444, 0.9996565656565657);-1353.017066343361;0.0;yes
1;1;('acc_DT_A', 'acc_DT_B');(0.995881463679355, 0.9997857681290517);-104.55059069363499;3.3750941025372075e-175;yes
2;2;('acc_RF_A', 'acc_RF_B');(0.9972476548569658, 0.9998510477913463);-166.08803682353812;1.5486400894141196e-214;yes
3;3;('acc_SVM_A', 'acc_SVM_B');(0.9982962826575702, 0.9998591889039651);-79.77984386728517;1.7278894794902853e-152;yes
4;4;('acc_NN_A', 'acc_NN_B');(0.9881765059306923, 0.9991239258254183);-17.883195537166763;3.33775693556589e-43;yes
