index;Model;Accuracy;Macro Avg Precision;Weighted Avg Precision;Macro Avg Recall;Weighted Avg Recall;Macro Avg F1-Score;Weighted Avg F1-Score
0;LR;99.97;99.63;0.34;99.69;0.27;99.66;0.31
1;DT;99.98;99.86;0.12;99.85;0.13;99.85;0.13
2;RF;99.99;99.9;0.09;99.89;0.1;99.89;0.09
3;SVM;99.99;99.85;0.14;99.86;0.13;99.85;0.13
4;NN;99.91;99.64;0.27;99.4;0.51;99.51;0.4
